,발주번호,납품일자,납품수량,납품차량번호,입고수량,불량수량,불량내용,반품일자,반품수량,반품내용
159,B20210322-0005,2021-03-28,553.0,,,,,,,
160,B20210322-0006,2021-03-28,39514.3,,,,,,,
161,B20210322-0007,2021-03-28,1075.0,,,,,,,
162,B20210322-0008,2021-03-28,1100.0,,,,,,,
163,B20210322-0009,2021-03-28,1100.0,,,,,,,
164,B20210322-0010,2021-03-28,5008.0,,,,,,,
165,B20210322-0011,2021-03-28,5595.0,,,,,,,
166,B20210322-0012,2021-03-28,21448.4,,,,,,,
167,B20210322-0013,2021-03-28,1945.5,,,,,,,
168,B20210322-0014,2021-03-28,210515.7,,,,,,,
169,B20210322-0015,2021-03-28,1100.0,,,,,,,
170,B20210322-0016,2021-03-28,142448.2,,,,,,,
171,B20210322-0017,2021-03-28,83231.0,,,,,,,
172,B20210322-0018,2021-03-28,21489.5,,,,,,,
173,B20210322-0019,2021-03-28,10384.5,,,,,,,
174,B20210322-0020,2021-03-28,8736.0,,,,,,,
175,B20210322-0021,2021-03-28,450.0,,,,,,,
176,B20210322-0022,2021-03-28,10542.5,,,,,,,
177,B20210322-0023,2021-03-28,15.0,,,,,,,
178,B20210322-0024,2021-03-28,15.0,,,,,,,
179,B20210322-0025,2021-03-28,220.0,,,,,,,
180,B20210322-0026,2021-03-28,37020.8,,,,,,,
181,B20210322-0027,2021-03-28,109201.2,,,,,,,
182,B20210322-0028,2021-03-28,88.0,,,,,,,
183,B20210322-0029,2021-03-28,434.09999999999997,,,,,,,
184,B20210322-0030,2021-03-28,1100.0,,,,,,,
185,B20210322-0031,2021-03-28,1331.9,,,,,,,
186,B20210329-0001,2021-04-04,179351.7,,,,,,,
187,B20210329-0002,2021-04-04,210.5,,,,,,,
188,B20210329-0003,2021-04-04,1100.0,,,,,,,
189,B20210329-0004,2021-04-04,3425.0,,,,,,,
190,B20210329-0005,2021-04-04,271.75,,,,,,,
191,B20210329-0006,2021-04-04,5879.5,,,,,,,
192,B20210329-0007,2021-04-04,1100.0,,,,,,,
193,B20210329-0008,2021-04-04,1100.0,,,,,,,
194,B20210329-0009,2021-04-04,1100.0,,,,,,,
195,B20210329-0010,2021-04-04,1217.0,,,,,,,
196,B20210329-0011,2021-04-04,1908.0,,,,,,,
197,B20210329-0012,2021-04-04,2352.0,,,,,,,
198,B20210329-0013,2021-04-04,1305.0,,,,,,,
199,B20210329-0014,2021-04-04,12522.0,,,,,,,
200,B20210329-0015,2021-04-04,1100.0,,,,,,,
201,B20210329-0016,2021-04-04,22028.6,,,,,,,
202,B20210329-0017,2021-04-04,7866.6,,,,,,,
203,B20210329-0018,2021-04-04,1870.0,,,,,,,
204,B20210329-0019,2021-04-04,3260.0,,,,,,,
205,B20210329-0020,2021-04-04,3258.4,,,,,,,
206,B20210329-0021,2021-04-04,1100.0,,,,,,,
207,B20210329-0022,2021-04-04,3660.0,,,,,,,
208,B20210329-0023,2021-04-04,1100.0,,,,,,,
209,B20210329-0024,2021-04-04,1100.0,,,,,,,
210,B20210329-0025,2021-04-04,1100.0,,,,,,,
211,B20210329-0026,2021-04-04,8178.0,,,,,,,
212,B20210329-0027,2021-04-04,19411.0,,,,,,,
213,B20210329-0028,2021-04-04,83.0,,,,,,,
214,B20210329-0029,2021-04-04,100.05,,,,,,,
215,B20210329-0030,2021-04-04,62.5,,,,,,,
216,B20210329-0031,2021-04-04,234.4,,,,,,,
217,B20210405-0001,2021-04-11,756532.0300000001,,,,,,,
218,B20210405-0002,2021-04-11,2895.0699999999997,,,,,,,
219,B20210405-0003,2021-04-11,9099.8,,,,,,,
220,B20210405-0004,2021-04-11,20429.9,,,,,,,
221,B20210405-0005,2021-04-11,1191.5,,,,,,,
222,B20210405-0006,2021-04-11,29973.370000000003,,,,,,,
223,B20210405-0007,2021-04-11,375.0,,,,,,,
224,B20210405-0008,2021-04-11,1100.0,,,,,,,
225,B20210405-0009,2021-04-11,300.0,,,,,,,
226,B20210405-0010,2021-04-11,1320.0,,,,,,,
227,B20210405-0011,2021-04-11,6930.0,,,,,,,
228,B20210405-0012,2021-04-11,36095.0,,,,,,,
229,B20210405-0013,2021-04-11,5024.5,,,,,,,
230,B20210405-0014,2021-04-11,208386.75,,,,,,,
231,B20210405-0015,2021-04-11,1100.0,,,,,,,
232,B20210405-0016,2021-04-11,102103.79999999999,,,,,,,
233,B20210405-0017,2021-04-11,64500.3,,,,,,,
234,B20210405-0018,2021-04-11,1100.0,,,,,,,
235,B20210405-0019,2021-04-11,6302.5,,,,,,,
236,B20210405-0020,2021-04-11,6613.79,,,,,,,
237,B20210405-0021,2021-04-11,1100.0,,,,,,,
238,B20210405-0022,2021-04-11,8258.9,,,,,,,
239,B20210405-0023,2021-04-11,1100.0,,,,,,,
240,B20210405-0024,2021-04-11,1100.0,,,,,,,
241,B20210405-0025,2021-04-11,1100.0,,,,,,,
242,B20210405-0026,2021-04-11,27410.0,,,,,,,
243,B20210405-0027,2021-04-11,92268.05,,,,,,,
244,B20210405-0028,2021-04-11,199.89999999999998,,,,,,,
245,B20210405-0029,2021-04-11,362.0,,,,,,,
246,B20210405-0030,2021-04-11,1100.0,,,,,,,
247,B20210405-0031,2021-04-11,1028.04,,,,,,,
248,B20210412-0001,2021-04-18,1164541.8499999999,,,,,,,
249,B20210412-0002,2021-04-18,3645.37,,,,,,,
250,B20210412-0003,2021-04-18,8000.0,,,,,,,
251,B20210412-0004,2021-04-18,31370.2,,,,,,,
252,B20210412-0005,2021-04-18,2098.0699999999997,,,,,,,
253,B20210412-0006,2021-04-18,52494.920000000006,,,,,,,
254,B20210412-0007,2021-04-18,900.0,,,,,,,
255,B20210412-0008,2021-04-18,1100.0,,,,,,,
256,B20210412-0009,2021-04-18,1100.0,,,,,,,
257,B20210412-0010,2021-04-18,3408.0,,,,,,,
258,B20210412-0011,2021-04-18,1936.0,,,,,,,
259,B20210412-0012,2021-04-18,43556.42,,,,,,,
260,B20210412-0013,2021-04-18,9355.0,,,,,,,
261,B20210412-0014,2021-04-18,214243.40000000002,,,,,,,
262,B20210412-0015,2021-04-18,51184.53000000001,,,,,,,
263,B20210412-0016,2021-04-18,179147.6,,,,,,,
264,B20210412-0017,2021-04-18,40301.4,,,,,,,
265,B20210412-0018,2021-04-18,640.0,,,,,,,
266,B20210412-0019,2021-04-18,14188.7,,,,,,,
267,B20210412-0020,2021-04-18,10388.8,,,,,,,
268,B20210412-0021,2021-04-18,1100.0,,,,,,,
269,B20210412-0022,2021-04-18,14335.5,,,,,,,
270,B20210412-0023,2021-04-18,33.0,,,,,,,
271,B20210412-0024,2021-04-18,33.0,,,,,,,
272,B20210412-0025,2021-04-18,484.0,,,,,,,
273,B20210412-0026,2021-04-18,49297.2,,,,,,,
274,B20210412-0027,2021-04-18,129104.2,,,,,,,
275,B20210412-0028,2021-04-18,60.7,,,,,,,
276,B20210412-0029,2021-04-18,555.1000000000001,,,,,,,
277,B20210412-0030,2021-04-18,1100.0,,,,,,,
278,B20210412-0031,2021-04-18,1467.14,,,,,,,
279,B20210419-0001,2021-04-25,659529.2000000001,,,,,,,
280,B20210419-0002,2021-04-25,993.0,,,,,,,
281,B20210419-0003,2021-04-25,6005.0,,,,,,,
282,B20210419-0004,2021-04-25,22740.0,,,,,,,
283,B20210419-0005,2021-04-25,949.5,,,,,,,
284,B20210419-0006,2021-04-25,21101.3,,,,,,,
285,B20210419-0007,2021-04-25,350.0,,,,,,,
286,B20210419-0008,2021-04-25,1100.0,,,,,,,
287,B20210419-0009,2021-04-25,420.0,,,,,,,
288,B20210419-0010,2021-04-25,5008.0,,,,,,,
289,B20210419-0011,2021-04-25,3420.0,,,,,,,
290,B20210419-0012,2021-04-25,29933.0,,,,,,,
291,B20210419-0013,2021-04-25,5195.0,,,,,,,
292,B20210419-0014,2021-04-25,154774.30000000002,,,,,,,
293,B20210419-0015,2021-04-25,53512.00000000001,,,,,,,
294,B20210419-0016,2021-04-25,96318.5,,,,,,,
295,B20210419-0017,2021-04-25,800.0,,,,,,,
296,B20210419-0018,2021-04-25,1100.0,,,,,,,
297,B20210419-0019,2021-04-25,7733.0,,,,,,,
298,B20210419-0020,2021-04-25,10239.0,,,,,,,
299,B20210419-0021,2021-04-25,1100.0,,,,,,,
300,B20210419-0022,2021-04-25,8279.0,,,,,,,
301,B20210419-0023,2021-04-25,1100.0,,,,,,,
302,B20210419-0024,2021-04-25,1100.0,,,,,,,
303,B20210419-0025,2021-04-25,1100.0,,,,,,,
304,B20210419-0026,2021-04-25,25169.0,,,,,,,
305,B20210419-0027,2021-04-25,51463.0,,,,,,,
306,B20210419-0028,2021-04-25,1100.0,,,,,,,
307,B20210419-0029,2021-04-25,359.79999999999995,,,,,,,
308,B20210419-0030,2021-04-25,1100.0,,,,,,,
309,B20210419-0031,2021-04-25,708.4,,,,,,,
