,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,연면적별,13수주량
26,933600,18.955187969924815,1.5010526315789474,78.19323308270677,0.0,0.5,2514370.3666666667,1718000
27,1218000,18.356992481203008,0.5461654135338346,75.64827067669172,0.0,0.5,2514370.3666666667,1793550
28,1396000,17.358195488721805,0.638796992481203,74.10000000000001,0.0,0.5,2138949.4440860217,2253070
29,1544800,15.893984962406014,0.03308270676691727,68.64541353383458,0.0,0.5,2076379.2903225808,1485000
30,1578550,12.683909774436088,0.14330827067669172,69.16601503759398,0.0,0.5,2076379.2903225808,1971540
31,1827500,11.90375939849624,1.2914285714285716,68.11984962406015,0.0,0.5,2076379.2903225808,2000700
32,1195570,11.065413533834587,0.5941353383458646,65.53578947368422,0.0,0.5,2417727.7516129036,803000
33,1475540,9.321052631578947,0.005563909774436071,55.980000000000004,0.0,0.5,2872859.033333333,1652000
34,2257100,10.79609022556391,0.19052631578947368,71.39172932330827,0.0,0.5,2872859.033333333,1649800
35,580600,9.658345864661653,4.894285714285714,72.95518796992482,0.0,0.5,2872859.033333333,1775000
36,1499000,4.115488721804511,0.11248120300751878,59.06947368421053,0.0,0.5,2877130.7612903225,2187550
37,1620800,2.6502255639097747,0.019849624060150315,59.05127819548873,0.0,0.5,2902761.1290322584,1414070
38,1718000,1.28,0.37323308270676686,57.39548872180451,0.18601503759398494,0.5,2902761.1290322584,1123540
39,1793550,-1.6514285714285715,0.0607518796992481,56.6433082706767,0.391578947368421,0.5,2902761.1290322584,1253000
40,2253070,2.9748872180451125,0.8097744360902255,70.2578947368421,0.04902255639097741,0.5,2902761.1290322584,1554540
41,1485000,-3.2484210526315787,0.3580451127819549,58.31112781954887,0.610375939849624,0.5,2050485.8064516129,1536600
42,1971540,-7.070827067669172,0.6532330827067668,59.570977443609024,1.5045112781954888,0.5,1709575.677419355,539000
43,2000700,0.5673684210526316,0.3383458646616541,61.01022556390978,0.7861654135338346,0.5,1709575.677419355,1076000
44,803000,5.40436090225564,2.1784962406015036,77.67233082706767,0.18225563909774434,0.5,1709575.677419355,1387800
45,1652000,1.011578947368421,1.7087218045112782,59.08706766917293,0.08857142857142854,0.5,1948168.9838709678,973000
46,1649800,1.6436090225563909,0.278796992481203,54.72571428571428,0.1857142857142857,0.5,2544652.25,2216550
47,1775000,4.437894736842106,0.5751879699248121,63.36661654135338,0.06390977443609021,0.5,2544652.25,1230070
48,2187550,4.046165413533835,0.1494736842105263,54.78766917293233,0.15233082706766915,0.5,2544652.25,1348100
49,1414070,5.778345864661654,8.01233082706767,67.75218045112781,0.15999999999999998,0.5,2656094.4274193547,1436600
50,1123540,6.232481203007518,0.8530827067669173,72.56556390977444,0.155187969924812,0.5,2934699.8709677416,1615000
51,1253000,9.194135338345864,2.377593984962406,68.89127819548872,0.0,0.5,2934699.8709677416,1636800
52,1554540,8.850977443609024,1.0063157894736843,63.0784962406015,0.0,0.5,2934699.8709677416,1773000
53,1536600,11.845563909774436,4.688120300751879,62.68466165413535,0.0,0.5,2934699.8709677416,1787550
54,539000,12.637443609022556,5.777443609022556,63.07413533834586,0.0,0.5,2772304.0387096773,1961070
55,1076000,11.96406015037594,3.786766917293233,60.66917293233083,0.0,0.5,2745238.0666666664,1545000
56,1387800,11.489323308270675,0.07233082706766916,55.1006015037594,0.0,0.5,2745238.0666666664,2011540
57,973000,16.070526315789472,0.059548872180451094,54.633233082706774,0.0,0.5,2745238.0666666664,2000700
58,2216550,13.737744360902255,5.693383458646617,68.47368421052632,0.0,0.5,2778845.5677419356,1047000
59,1230070,15.291729323308271,1.313533834586466,58.142857142857146,0.0,0.5,2804051.193548387,1703000
60,1348100,18.446502959526473,8.104770436730124,79.93764997600384,0.0,0.5,2804051.193548387,1720800
61,1436600,17.946165413533837,2.4416541353383456,72.3587969924812,0.0,0.5,2804051.193548387,1870050
62,1615000,17.810977443609023,3.716541353383459,72.14210526315789,0.0,0.5,2765396.751612903,1871500
