,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
875,2005100,PEMA053046500,7000,2389,16723000,2020-12-12,2020-12-15,PEMA-HR1500,2020-12
876,2006900,PEMA053046500,7000,2623,18361000,2020-12-19,2020-12-22,PEMA-HR1500,2020-12
878,2005100,PEMA053046500,7000,2389,16723000,2020-12-22,2020-12-25,PEMA-HR1500,2020-12
879,2006900,PEMA053046500,7000,2623,18361000,2020-12-29,2021-01-01,PEMA-HR1500,2020-12
880,2007600,PEMA053046500,4000,2701,10804000,2020-12-31,2021-01-03,PEMA-HR1500,2020-12
882,2003700,PCA021027605,12100,1025,12402500,2020-02-21,2020-02-24,ARE-580FX,2020-02
889,2003300,PEMA023129801,22000,1234,27148000,2020-01-12,2020-01-15,PEMA-PR1000,2020-01
890,2003400,PEMA023129801,3000,1235,3705000,2020-01-12,2020-01-15,PEMA-PR1000,2020-01
891,2007100,PEMA023129801,22000,1418,31196000,2020-01-19,2020-01-22,PEMA-PR1000,2020-01
892,2007200,PEMA023129801,3000,1419,4257000,2020-01-19,2020-01-22,PEMA-PR1000,2020-01
893,2002400,PEMA023129801,22000,1580,34760000,2020-01-25,2020-01-28,PEMA-PR1000,2020-01
894,2002500,PEMA023129801,3000,1581,4743000,2020-01-25,2020-01-28,PEMA-PR1000,2020-01
899,2007302,PEMA023129801,22000,2130,46860000,2020-02-08,2020-02-11,PEMA-PR1000,2020-02
900,2007400,PEMA023129801,3000,2131,6393000,2020-02-08,2020-02-11,PEMA-PR1000,2020-02
903,2006800,PEMA023129801,22000,2480,54560000,2020-02-21,2020-02-24,PEMA-PR1000,2020-02
904,2006900,PEMA023129801,3000,2481,7443000,2020-02-21,2020-02-24,PEMA-PR1000,2020-02
997,2007302,PEMA023129801,22000,2130,46860000,2020-12-01,2020-12-04,PEMA-PR1000,2020-12
998,2007400,PEMA023129801,3000,2131,6393000,2020-12-01,2020-12-04,PEMA-PR1000,2020-12
1007,2006609,PEMA023129801,3000,2705,8115000,2020-12-31,2021-01-03,PEMA-PR1000,2020-12
1008,2006612,PEMA023129801,22000,2706,59532000,2020-12-31,2021-01-03,PEMA-PR1000,2020-12
1009,2004000,PEMA013901520,20000,1028,20560000,2020-01-01,2020-01-04,PEMA-PR1000,2020-01
1010,2007302,PEMA013901520,20000,1420,28400000,2020-01-19,2020-01-22,PEMA-PR1000,2020-01
1011,2006606,PEMA013901520,20000,1624,32480000,2020-01-26,2020-01-29,PEMA-PR1000,2020-01
1012,2007200,PEMA013901520,20000,1916,38320000,2020-02-04,2020-02-07,PEMA-PR1000,2020-02
1013,2005700,PEMA013901520,2000,2182,4364000,2020-02-11,2020-02-14,PEMA-PR1000,2020-02
1014,2005800,PEMA013901520,18000,2183,39294000,2020-02-11,2020-02-14,PEMA-PR1000,2020-02
1015,2004000,PEMA013901520,20000,1028,20560000,2020-02-22,2020-02-25,PEMA-PR1000,2020-02
1047,2005700,PEMA013901520,2000,2182,4364000,2020-12-04,2020-12-07,PEMA-PR1000,2020-12
1048,2005800,PEMA013901520,18000,2183,39294000,2020-12-04,2020-12-07,PEMA-PR1000,2020-12
1049,2007400,PEMA013901520,20000,2557,51140000,2020-12-15,2020-12-18,PEMA-PR1000,2020-12
1050,2007400,PEMA013901520,20000,2557,51140000,2020-12-25,2020-12-28,PEMA-PR1000,2020-12
1051,2004100,PEMA033078017,5000,1029,5145000,2020-01-01,2020-01-04,PEMA-SR2000,2020-01
1052,2004100,PEMA033078017,5000,1029,5145000,2020-02-22,2020-02-25,PEMA-SR2000,2020-02
1062,2007200,PEMA033078017,5000,2712,13560000,2020-12-31,2021-01-03,PEMA-SR2000,2020-12
1063,2004104,PEMA043080500,5000,1030,5150000,2020-01-01,2020-01-04,PEMA-SR2000,2020-01
1064,2004200,PEMA043080500,2000,1031,2062000,2020-01-01,2020-01-04,PEMA-SR2000,2020-01
1065,2006500,PEMA043080500,6000,2332,13992000,2020-02-15,2020-02-18,PEMA-SR2000,2020-02
1066,2004104,PEMA043080500,5000,1030,5150000,2020-02-22,2020-02-25,PEMA-SR2000,2020-02
1067,2004200,PEMA043080500,2000,1031,2062000,2020-02-22,2020-02-25,PEMA-SR2000,2020-02
1080,2006500,PEMA043080500,6000,2332,13992000,2020-12-08,2020-12-11,PEMA-SR2000,2020-12
1081,2004300,PEMA043062000,6000,1032,6192000,2020-01-01,2020-01-04,PEMA-SR2000,2020-01
1084,2005900,PEMA043062000,6000,1829,10974000,2020-02-02,2020-02-05,PEMA-SR2000,2020-02
1085,2002400,PEMA043062000,6000,1935,11610000,2020-02-04,2020-02-07,PEMA-SR2000,2020-02
1088,2004300,PEMA043062000,6000,1032,6192000,2020-02-22,2020-02-25,PEMA-SR2000,2020-02
1127,2004800,PEMA043062000,6000,2528,15168000,2020-12-15,2020-12-18,PEMA-SR2000,2020-12
1129,2004800,PEMA043062000,6000,2528,15168000,2020-12-25,2020-12-28,PEMA-SR2000,2020-12
1130,2004400,PEMA063030500,3000,1033,3099000,2020-01-01,2020-01-04,PEMA-SR3000F,2020-01
1132,2005600,PEMA063030500,3000,1755,5265000,2020-01-31,2020-02-03,PEMA-SR3000F,2020-01
1135,2004400,PEMA063030500,3000,1033,3099000,2020-02-22,2020-02-25,PEMA-SR3000F,2020-02
1161,2004500,PEMA023030801,6000,1034,6204000,2020-01-01,2020-01-04,PEMA-SR3000F,2020-01
1162,2004500,PEMA023030801,6000,1034,6204000,2020-02-22,2020-02-25,PEMA-SR3000F,2020-02
1167,2004600,PEMA023058600,15000,1035,15525000,2020-01-02,2020-01-05,PEMA-500FR,2020-01
1168,2002400,PEMA023058600,23000,1083,24909000,2020-01-03,2020-01-06,PEMA-500FR,2020-01
1169,2002500,PEMA023058600,2000,1084,2168000,2020-01-03,2020-01-06,PEMA-500FR,2020-01
1170,2002800,PEMA023058600,15000,1158,17370000,2020-01-05,2020-01-11,PEMA-500FR,2020-01
1171,2007100,PEMA023058600,23000,1276,29348000,2020-01-14,2020-01-17,PEMA-500FR,2020-01
1172,2007200,PEMA023058600,2000,1277,2554000,2020-01-14,2020-01-17,PEMA-500FR,2020-01
1173,2003400,PEMA023058600,21000,1306,27426000,2020-01-15,2020-01-18,PEMA-500FR,2020-01
1174,2007700,PEMA023058600,3000,1424,4272000,2020-01-20,2020-01-23,PEMA-500FR,2020-01
1175,2007800,PEMA023058600,20000,1425,28500000,2020-01-20,2020-01-23,PEMA-500FR,2020-01
1176,2001400,PEMA023058600,13000,1500,19500000,2020-01-22,2020-01-25,PEMA-500FR,2020-01
1179,2007700,PEMA023058600,20000,1708,34160000,2020-01-29,2020-02-01,PEMA-500FR,2020-01
1180,2002600,PEMA023058600,20000,1795,35900000,2020-02-02,2020-02-05,PEMA-500FR,2020-02
1182,2004400,PEMA023058600,10000,1885,18850000,2020-02-04,2020-02-07,PEMA-500FR,2020-02
1183,2004500,PEMA023058600,10000,1886,18860000,2020-02-04,2020-02-07,PEMA-500FR,2020-02
1188,2001300,PEMA023058600,23000,2138,49174000,2020-02-09,2020-02-12,PEMA-500FR,2020-02
1189,2006612,PEMA023058600,20000,2194,43880000,2020-02-12,2020-02-15,PEMA-500FR,2020-02
1193,2004600,PEMA023058600,15000,1035,15525000,2020-02-23,2020-02-26,PEMA-500FR,2020-02
1194,2002400,PEMA023058600,23000,1083,24909000,2020-02-24,2020-02-27,PEMA-500FR,2020-02
1195,2002500,PEMA023058600,2000,1084,2168000,2020-02-24,2020-02-27,PEMA-500FR,2020-02
1196,2002800,PEMA023058600,15000,1158,17370000,2020-02-26,2020-03-01,PEMA-500FR,2020-02
1338,2001300,PEMA023058600,23000,2138,49174000,2020-12-02,2020-12-05,PEMA-500FR,2020-12
1339,2006612,PEMA023058600,20000,2194,43880000,2020-12-05,2020-12-08,PEMA-500FR,2020-12
1343,2007600,PEMA023058600,19000,2488,47272000,2020-12-15,2020-12-18,PEMA-500FR,2020-12
1344,2007700,PEMA023058600,4000,2489,9956000,2020-12-15,2020-12-18,PEMA-500FR,2020-12
1345,2007800,PEMA023058600,15000,2490,37350000,2020-12-15,2020-12-18,PEMA-500FR,2020-12
1346,2003800,PEMA023058600,20000,2588,51760000,2020-12-19,2020-12-22,PEMA-500FR,2020-12
1349,2007600,PEMA023058600,19000,2488,47272000,2020-12-25,2020-12-28,PEMA-500FR,2020-12
