,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200
2022-01-25,1709.9276733398438,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,8031.745151360098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,211362.07122802734,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,214092.04406052575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,3041.004150390625,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,-832.1248212739984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-25,7273.012023925781,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,12489.27012156347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-25,10835.723571777344,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,15985.565355308723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,14685.851440429688,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,21184.661470008483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,1916.52392578125,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,-3853.734851381061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,-4924.816403661923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-25,1309.7880249023438,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,5940.735374421711,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,14236.992126464844,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,25146.02505878074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-25,430.11029052734375,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,6270.8121447716085,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,3191.3636474609375,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,10438.708878288437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,5067.775975854482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,4015.6201259468967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,-138.85494733010142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,45.22050025971189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,109.96252175064106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,391.75640713060886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,270403.69354248047,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,146682.9973349877,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,78957.45361328125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,66678.4390386509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,42192.625244140625,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,28869.096622934518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-02-01,25445.005981445312,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,17399.130743814872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-02-01,1056.0008544921875,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-3001.309561927932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,126884.5283203125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,74816.52918753136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,22096.64532470703,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,14310.989043510144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,8770.852600097656,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-19715.19191476821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,20.134033203125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-83.13264129772597,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-2279.08158726666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,119382.84564208984,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,78223.84312704961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,2576.810302734375,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-5848.574743432701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-02-01,3277.9243774414062,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,2424.210909560479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-02-01,10609.65869140625,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,11309.6015282963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,6841.567687988281,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,5615.871991204692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,38650.689453125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,44317.47591492598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-9437.968272017864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-01,2947.5167236328125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,3929.6961030799584,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,3606.7650756835938,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,5593.78559959538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,1163.9441836391927,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,1444.1725806034538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,117.03501772719504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,-148.48707194703994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-02-01,7562.3052978515625,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,12640.182233448651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
