,상대습도,일강수량,최심적설,평균온도,기준금리,연면적별,거래처코드,제품명,수주량
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,PEMA-500FR,13000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,PEMA-HR1000,30000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,PEMA-HR1500,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,PEMA-SN400,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,PEMA-SR3000F,5000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001500,AE,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001500,CSA5000,20000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001500,PEMA-HR1000,22000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001500,PEMA-HR1500,20000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001500,PEMA-SR2000,2000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001600,CSA5000,25000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001600,PEMA-HR1000,15000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001600,PEMA-HR1500,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001600,PEMA-SR2000,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001700,CSA5000,30000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001700,PEMA-HR1000,15000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001700,PEMA-HR1500,1000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001700,PEMA-SR2000,3000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001800,CSA5000,30000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001800,PEMA-HR1000,30000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001800,PEMA-HR1500,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001800,PEMA-SR2000,3000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2002000,CSA5000,28000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2002000,PEMA-HR1000,24000
