원자재코드,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29
SR34307,1342.5071110233746,1330.7702958258562,2436.4715670896467,2429.280528493231,2691.65745217993,1914.7668046611616,2389.126473383659,1956.0933195508433,1029.7344685717394,2595.3207818731735,2558.431271137271,2136.21912515151
SR34311,2749.3512914448634,4112.153762778427,4456.298054859831,4824.799967115612,7794.154873531605,4265.248095371491,4672.822286068395,4039.4305258455183,4861.930097311261,5571.7570145002355,7382.9726076238185,5860.714252254387
SR34364,8192.030217576881,14772.654101408922,15069.196947812914,15076.51567144971,25739.82697240672,16563.709938165204,16152.252479233186,17693.75715718622,16496.4470407585,19585.421713808362,20087.702033398517,24095.394123277263
SR35210,9979.144962020828,15775.092222851685,21625.812342052508,15925.517154338208,26708.196686700492,14747.946020020001,15497.08097765565,20844.383037761225,19339.458919604604,27798.5434821529,25258.300846557955,23354.685433531995
SR35211,14412.11657881916,19500.0331475059,22476.27459471064,19298.456511468547,31881.269889824805,21898.771119852056,18348.92243129655,20213.799165307537,27023.47428967432,25716.55392638721,30255.62212823059,26672.397432318612
SR35217,7081.457449404256,12103.174123019278,12235.127183632236,12425.367867837429,22261.315943152797,11946.790336743183,12611.749301164216,18519.638314547617,14865.460993454062,17874.921105974405,22323.22055412645,21173.175286046502
SR35218,39192.06168330462,96003.10301969945,67369.31422016387,59243.29099335408,111641.1654351049,69624.51185849248,114284.55780182479,79220.30402595049,144492.34389860393,114535.63030381505,108991.17283214729,163515.4503661894
SR35221,19040.72672784688,33352.60177695391,28900.865174431212,29977.260278068086,42838.466977107906,27318.045987711244,23852.705590667763,31114.28877979371,41802.92257980427,41979.816401408105,45157.688178122284,42857.843181284625
SR35224,18772.55854521475,45365.42132365419,36055.58102094566,29560.709025244123,62462.350085772596,38463.04757196772,59185.941788022494,40726.92562034885,68424.48627494826,55730.305279245375,55244.425548874,79843.56175801397
SR35225,19025.51186015234,33778.391100966124,29951.31465028526,30093.02227237845,43568.58763759763,28191.572820641806,24658.17440143624,31410.666432058333,42040.03170018803,44247.94310556061,46811.06797953764,46082.038428374646
