,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200
2022-02-01,6883.6163330078125,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-02-01,1049.1048583984375,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-02-01,9928.823913574219,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,11158.150022000114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,8662.463989257812,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,8562.578405511513,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,30327.47528076172,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,31509.011444643373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-01,5166.523834228516,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,7233.349765499496,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,85.97421799861924,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,223.6057746365269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-02-01,9324.644226074219,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,15753.103738066611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,309.10770062560715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.0,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,206.7820378614871,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,781719.7654724121,2.811746190094758,0.0,55.14734910910049,0.1609254656308927,1.0,0.706166865583254,683.4271316771051,880893.1395738636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,116129.80041503906,2.811746190094758,0.0,55.14734910910049,0.1609254656308927,1.0,0.706166865583254,683.4271316771051,117408.48757918076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,65069.4006652832,2.811746190094758,0.0,55.14734910910049,0.1609254656308927,1.0,0.706166865583254,683.4271316771051,58498.295914381335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-02-08,57501.743560791016,2.811746190094758,0.0,55.14734910910049,0.1609254656308927,1.0,0.706166865583254,683.4271316771051,60856.03966576205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
